id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,latency,response_time
217,COMP_M,app12,Edge12,ms_12,216,229,112,0,None,0.3,118.48773000434171,118.78773000434171,100.0,118.48773000434171,18.487730004341714,18.78773000434171
197,COMP_M,app11,Edge11,ms_11,196,228,111,0,None,0.3,118.63778000260513,118.93778000260512,100.0,118.63778000260513,18.637780002605126,18.937780002605123
36,COMP_M,app4,Edge4,ms_4,35,221,104,0,None,0.3,118.85667000202614,119.15667000202613,100.0,118.85667000202614,18.856670002026135,19.156670002026132
218,COMP_M,app12,Edge12,ms_12,217,229,112,0,None,0.3,119.79965000463116,120.09965000463116,100.0,119.79965000463116,19.79965000463116,20.099650004631158
59,COMP_M,app5,Edge5,ms_5,58,222,105,0,None,0.3,120.90340000289459,121.20340000289458,100.0,120.90340000289459,20.903400002894585,21.203400002894583
170,COMP_M,app10,Edge10,ms_10,169,227,110,0,None,0.3,121.8905600023156,122.19056000231559,100.0,121.8905600023156,21.890560002315596,22.190560002315593
127,COMP_M,app8,Edge8,ms_8,126,225,108,0,None,0.3,123.16902000318404,123.46902000318404,100.0,123.16902000318404,23.169020003184045,23.469020003184042
171,COMP_M,app10,Edge10,ms_10,170,227,110,0,None,0.3,124.92445000260503,125.22445000260502,100.0,124.92445000260503,24.924450002605028,25.224450002605025
198,COMP_M,app11,Edge11,ms_11,197,228,111,0,None,0.3,125.4346400034735,125.7346400034735,100.0,125.4346400034735,25.434640003473504,25.7346400034735
199,COMP_M,app11,Edge11,ms_11,198,228,111,0,None,0.3,127.70026000376296,128.00026000376297,100.0,127.70026000376296,27.700260003762963,28.000260003762975
172,COMP_M,app10,Edge10,ms_10,171,227,110,0,None,0.3,127.95834000289449,128.2583400028945,100.0,127.95834000289449,27.958340002894488,28.2583400028945
200,COMP_M,app11,Edge11,ms_11,199,228,111,0,None,0.3,129.96588000405242,130.26588000405243,100.0,129.96588000405242,29.965880004052423,30.265880004052434
152,COMP_M,app9,Edge9,ms_9,151,226,109,0,None,0.3,130.99223000318392,131.29223000318393,100.0,130.99223000318392,30.99223000318392,31.29223000318393
60,COMP_M,app5,Edge5,ms_5,59,222,105,0,None,0.3,132.23150000434188,132.5315000043419,100.0,132.23150000434188,32.23150000434188,32.53150000434189
